Player1,Player2,Shared Seasons
Austin Barnes ,Clayton Kershaw ,3
Austin Barnes ,Kike Hernandez,3
Austin Barnes ,Chris Taylor,3
Austin Barnes ,Clayton Kershaw ,3
Austin Barnes ,Cody Bellinger,3
Austin Barnes ,Julio Urias ,3
Austin Barnes ,Justin Turner ,3
Austin Barnes ,Walker Buehler,3
Chris Taylor,Clayton Kershaw ,3
Chris Taylor,Cody Bellinger,3
Chris Taylor,Julio Urias ,3
Chris Taylor,Justin Turner ,3
Chris Taylor,Walker Buehler,3
Clayton Kershaw,Kike Hernandez,3
Clayton Kershaw,Cody Bellinger,3
Clayton Kershaw,Julio Urias,3
Clayton Kershaw,Justin Turner,3
Clayton Kershaw,Walker Buehler,3
Cody Bellinger,Julio Urias ,3
Cody Bellinger,Justin Turner ,3
Cody Bellinger,Walker Buehler,3
Julio Urias ,Justin Turner ,3
Julio Urias ,Walker Buehler,3
Justin Turner ,Walker Buehler,3
Adam Kolarek,Austin Barnes ,2
Adam Kolarek,Brusdar Graterol,2
Adam Kolarek,Caleb Ferguson,2
Adam Kolarek,Chris Taylor,2
Adam Kolarek,Clayton Kershaw ,2
Adam Kolarek,Dustin May,2
Adam Kolarek,Joe Kelly ,2
Adam Kolarek,Julio Urias ,2
Adam Kolarek,Kike Hernandez,2
Adam Kolarek,Max Muncy ,2
Adam Kolarek,Mookie Betts,2
Adam Kolarek,Tony Gonsolin ,2
Adam Kolarek,Victor Gonzalez ,2
Adam Kolarek,Will Smith,2
Alex Vesia,Andre Jackson ,2
Alex Vesia,Austin Barnes ,2
Alex Vesia,Blake Treinen ,2
Alex Vesia,Brusdar Graterol,2
Alex Vesia,Chris Taylor,2
Alex Vesia,Clayton Kershaw ,2
Alex Vesia,Cody Bellinger,2
Alex Vesia,David Price ,2
Alex Vesia,Dustin May,2
Alex Vesia,Edwin Rios,2
Alex Vesia,Evan Phillips ,2
Alex Vesia,Garrett Cleavinger,2
Alex Vesia,Gavin Lux ,2
Alex Vesia,Jake Reed ,2
Alex Vesia,Julio Urias ,2
Alex Vesia,Justin Bruihl ,2
Alex Vesia,Justin Turner ,2
Alex Vesia,Max Muncy ,2
Alex Vesia,Mitch White ,2
Alex Vesia,Mookie Betts,2
Alex Vesia,Phil Bickford ,2
Alex Vesia,Shane Greene,2
Alex Vesia,Tony Gonsolin ,2
Alex Vesia,Trea Turner ,2
Alex Vesia,Walker Buehler,2
Alex Vesia,Will Smith,2
Alex Vesia,Zach McKinstry,2
Alex Wood ,Austin Barnes ,2
Alex Wood ,Clayton Kershaw ,2
Alex Wood ,Corey Seager,2
Alex Wood ,Joc Pederson,2
Alex Wood ,Justin Turner ,2
Alex Wood ,Kenley Jansen ,2
Alex Wood ,Kike Hernandez,2
Alex Wood ,Pedro Baez,2
Andre Jackson ,Austin Barnes ,2
Andre Jackson ,Blake Treinen ,2
Andre Jackson ,Brusdar Graterol,2
Andre Jackson ,Chris Taylor,2
Andre Jackson ,Clayton Kershaw ,2
Andre Jackson ,Cody Bellinger,2
Andre Jackson ,David Price ,2
Andre Jackson ,Dustin May,2
Andre Jackson ,Edwin Rios,2
Andre Jackson ,Evan Phillips ,2
Andre Jackson ,Garrett Cleavinger,2
Andre Jackson ,Gavin Lux ,2
Andre Jackson ,Jake Reed ,2
Andre Jackson ,Julio Urias ,2
Andre Jackson ,Justin Bruihl ,2
Andre Jackson ,Justin Turner ,2
Andre Jackson ,Max Muncy ,2
Andre Jackson ,Mitch White ,2
Andre Jackson ,Mookie Betts,2
Andre Jackson ,Phil Bickford ,2
Andre Jackson ,Shane Greene,2
Andre Jackson ,Tony Gonsolin ,2
Andre Jackson ,Trea Turner ,2
Andre Jackson ,Walker Buehler,2
Andre Jackson ,Will Smith,2
Andre Jackson ,Zach McKinstry,2
Austin Barnes ,Brusdar Graterol,2
Austin Barnes ,Caleb Ferguson,2
Austin Barnes ,Chris Taylor,2
Austin Barnes ,Corey Seager,2
Austin Barnes ,Dustin May,2
Austin Barnes ,Joc Pederson,2
Austin Barnes ,Joe Kelly ,2
Austin Barnes ,Julio Urias ,2
Austin Barnes ,Justin Turner ,2
Austin Barnes ,Kenley Jansen ,2
